id,name,host_id,host_name,neighbourhood,room_type,latitude,longitude,price,minimum_nights,availability_365,calculated_host_listings_count,number_of_reviews,number_of_reviews_ltm,reviews_per_month,last_review,host_response_rate,review_scores_rating,area_category,covid_period
933070,Yoong Thong Double Standard Room,1203066,Tienchai,Min Buri,Private room,13.78318,100.74785,1620,30,365,2,0,0,0.0,1970-01-01,0.0,0.0,Outer City,Pre-COVID
933092,Rachapruk Twin Standard Room,1203066,Tienchai,Min Buri,Private room,13.78115,100.7482,1620,1,365,2,0,0,0.0,1970-01-01,0.0,0.0,Outer City,Pre-COVID
936765,Spacious 1 bed apartment close to BTS.,4785506,Ian,Phra Khanong,Entire home/apt,13.68469,100.60719,1290,30,87,1,2,0,0.02,2013-04-17,0.0,0.0,Middle City,Pre-COVID
1463101,"Comfortable serviced 1BR, BTS, POOL",7840606,Naphaporn,Phaya Thai,Entire home/apt,13.78519,100.5496,2000,1,360,1,8,1,0.1,2022-12-03,0.0,3.88,Middle City,Recovery Period
1485092,New Model Studio 24,5469970,Yair,Suanluang,Entire home/apt,13.72219,100.6145,1004,10,365,10,2,0,0.02,2016-11-13,100.0,3.0,Middle City,Pre-COVID
1485265,New Model Studio 24 - Sukhumvit 77,5469970,Yair,Suanluang,Entire home/apt,13.71916,100.63024,1004,10,365,10,9,0,0.09,2017-03-30,100.0,4.18,Middle City,Pre-COVID
941803,Suite Room 1 at MetroPoint,610315,Kasem,Bang Kapi,Private room,13.7703,100.63148,1905,1,365,3,0,0,0.0,1970-01-01,100.0,0.0,Middle City,Pre-COVID
2516583,1-bedroom on Yen-Akart,12883621,Tyfoon,Yan na wa,Entire home/apt,13.71165,100.54957,1500,60,363,1,1,0,0.02,2017-07-21,0.0,5.0,Inner City,Pre-COVID
2390092,Central Bangkok Condominium,12208490,Aggarat,Huai Khwang,Private room,13.77302,100.57755,1212,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
2394858,Cool and Comfortable MRT in the Shadows of Silom,1927968,Evan,Sathon,Entire home/apt,13.72062,100.54707,600,1,358,37,146,3,1.36,2022-11-19,100.0,4.52,Inner City,Recovery Period
2516683,iSanook Family Suite Deluxe 67 sqm 2,8663142,ISanook Hotel,Bang Rak,Private room,13.73155,100.52129,3700,30,330,45,6,0,0.07,2019-06-30,100.0,4.57,Inner City,Pre-COVID
2517068,Songphra Suite Deluxe 45sqm - Women,8663142,ISanook Hotel,Bang Rak,Private room,13.7334,100.52328,900,30,301,45,4,0,0.04,2016-04-30,0.0,0.0,Inner City,Pre-COVID
